file,n,t,st
in_043.txt,109,9.945800002242322e-05,2375
in_009.txt,221,0.00021537600014198688,5013
in_056.txt,250,0.0002498220001143636,5881
in_078.txt,254,0.0002723540001170477,6422
in_050.txt,538,0.0007283639997694991,14373
in_095.txt,838,0.00123262600027374,23678
in_074.txt,896,0.001304661999711243,24936
in_067.txt,1358,0.0021446760001708753,39502
in_082.txt,1377,0.0022185459997672297,40765
in_094.txt,1388,0.0022522399999616027,41419
in_010.txt,1395,0.0021993489999658777,40589
in_036.txt,1530,0.0024598210002295673,45114
in_072.txt,1674,0.0027528840000741184,50221
in_061.txt,1729,0.002863653000076738,52114
in_090.txt,1859,0.003095510000093782,55790
in_014.txt,1921,0.003165011999954004,57131
in_039.txt,2056,0.0036843410002802557,65477
in_100.txt,2141,0.0038686190000589704,68696
in_098.txt,2655,0.004741576000014902,84114
in_057.txt,2766,0.0049510910002936726,87369
in_006.txt,2824,0.0050167839999630814,88902
in_021.txt,2842,0.00509644500016293,90410
in_085.txt,2856,0.005105882999941969,90709
in_037.txt,2955,0.005272687999877235,93794
in_022.txt,3001,0.005325577000348858,94333
in_032.txt,3023,0.005310788999850047,94241
in_053.txt,3136,0.005719389999740088,100639
in_087.txt,3253,0.005843473999902926,103005
in_007.txt,3339,0.006067206999887276,106494
in_030.txt,3351,0.006106430999807344,107248
in_052.txt,3457,0.006292731999565149,110315
in_066.txt,3874,0.007121936000203277,124230
in_016.txt,3903,0.00716687100020863,125016
in_015.txt,3920,0.0072144099999604805,126746
in_041.txt,4039,0.007450746999893454,129853
in_058.txt,4218,0.008283338000182994,143036
in_046.txt,4238,0.00832274200001848,144123
in_047.txt,4269,0.00834236900027463,144254
in_023.txt,4352,0.008446796000043832,145846
in_089.txt,4379,0.008592341000166925,147486
in_088.txt,4532,0.00888715700011744,153083
in_063.txt,4587,0.00897432099964135,154632
in_079.txt,4694,0.009158669000044029,158232
in_080.txt,4699,0.009140664999904402,157818
in_068.txt,4792,0.00934122299986484,160730
in_017.txt,4799,0.00929616800021904,160443
in_003.txt,4859,0.009433097000055568,162669
in_064.txt,5059,0.009883765999802563,170126
in_040.txt,5096,0.009729905999847688,168863
in_025.txt,5135,0.010090536999996402,173412
in_011.txt,5157,0.01007360499988863,173543
in_062.txt,5338,0.010463932000220666,179511
in_084.txt,5403,0.010542699999859906,180733
in_001.txt,5405,0.010528514000270661,181899
in_055.txt,5451,0.010670781999579049,183379
in_028.txt,5538,0.010828309000316949,186089
in_018.txt,5684,0.011096124000232521,190373
in_059.txt,5778,0.011236689000270417,193182
in_083.txt,6065,0.011868019999837998,202795
in_054.txt,6100,0.01192081999988659,204010
in_013.txt,6111,0.011873981000007916,204273
in_091.txt,6137,0.012065783999787527,206349
in_092.txt,6146,0.012256514000000607,208861
in_071.txt,6196,0.012356882999938534,211221
in_093.txt,6208,0.012375769000300352,211252
in_070.txt,6355,0.012561657999867748,215198
in_038.txt,6445,0.01291241099988838,220522
in_051.txt,6546,0.012921878000270226,220858
in_049.txt,6655,0.01322032100006254,225928
in_024.txt,6709,0.013315041000169003,228235
in_029.txt,6735,0.013406061999830854,229387
in_075.txt,6817,0.013428854999801842,230407
in_077.txt,6980,0.013873342999886518,236077
in_002.txt,7264,0.014543627999955788,248782
in_019.txt,7376,0.014703288999953656,251322
in_045.txt,7484,0.01505894999991142,255030
in_004.txt,7530,0.01509540899996864,256893
in_005.txt,7702,0.015432444999987638,263871
in_048.txt,7734,0.015432975999829068,262596
in_012.txt,7763,0.015498209000270435,264909
in_042.txt,7892,0.015955622000092262,271192
in_026.txt,8046,0.016206354999667383,276013
in_069.txt,8195,0.017429122000066855,293672
in_044.txt,8305,0.017936198999905173,300738
in_081.txt,8305,0.01779775700015307,299425
in_097.txt,8333,0.01780033300019568,300578
in_020.txt,8357,0.01774275400020997,300314
in_035.txt,8382,0.01788534199977221,301970
in_033.txt,8455,0.018111409000084677,304378
in_008.txt,8512,0.01814991099990948,306040
in_073.txt,8785,0.01861143299993273,313133
in_099.txt,8906,0.01899874400032786,319069
in_031.txt,9461,0.020002966999982164,336708
in_027.txt,9529,0.020073099999990518,339040
in_034.txt,9592,0.020206292000239046,339363
in_086.txt,9694,0.020444953000151145,343354
in_065.txt,9697,0.020363729000109743,343088
in_060.txt,9713,0.02051513399965188,345560
in_076.txt,9735,0.020536704999813082,344947
in_096.txt,9984,0.020964211999853433,353952
